,id_location,Location,Start_date,End_date,Season,Rain,TempMin,TempMax
1020,0,Adelaide,2009-01-01,2009-02-28,Summer,0.022222222222222223,12.002222222222223,20.788888888888888
1021,0,Adelaide,2009-03-01,2009-05-31,Autumn,1.7173913043478262,12.86304347826087,22.409782608695654
1022,0,Adelaide,2009-06-01,2009-08-31,Winter,2.356521739130435,9.018478260869566,16.830434782608698
1023,0,Adelaide,2009-09-01,2009-11-30,Spring,1.3428571428571427,13.315384615384614,24.082417582417587
1024,0,Adelaide,2009-12-01,2010-02-28,Summer,0.36666666666666664,17.63333333333333,30.388888888888893
1025,0,Adelaide,2010-03-01,2010-05-31,Autumn,1.3630434782608696,13.642391304347825,23.833695652173912
1026,0,Adelaide,2010-06-01,2010-08-31,Winter,2.617391304347826,7.422826086956523,15.445652173913041
1027,0,Adelaide,2010-09-01,2010-11-30,Spring,1.3692307692307693,11.687912087912087,20.87472527472528
1028,0,Adelaide,2010-12-01,2011-02-28,Summer,1.64,17.62,28.791111111111114
1029,0,Adelaide,2011-03-01,2011-05-31,Autumn,2.3161290322580643,12.604838709677422,21.277419354838706
1030,0,Adelaide,2011-06-01,2011-08-31,Winter,2.0760869565217392,8.554347826086957,16.70978260869565
1031,0,Adelaide,2011-09-01,2011-11-30,Spring,1.2593406593406593,12.659340659340662,23.202197802197798
1032,0,Adelaide,2011-12-01,2012-02-29,Summer,0.6799999999999999,17.75222222222222,29.43555555555556
1033,0,Adelaide,2012-03-01,2012-05-31,Autumn,1.6695652173913043,12.314130434782607,22.847826086956527
1034,0,Adelaide,2012-06-01,2012-08-31,Winter,2.8326086956521737,7.789130434782609,15.492391304347828
1035,0,Adelaide,2012-09-01,2012-11-30,Spring,0.6505494505494506,11.873626373626374,23.537362637362637
1036,0,Adelaide,2013-01-01,2013-01-31,Summer,0.3741935483870968,16.66774193548387,30.422580645161293
1037,0,Adelaide,2013-03-01,2013-05-31,Autumn,1.1695652173913043,14.57391304347826,24.28260869565218
1038,0,Adelaide,2013-06-01,2013-08-31,Winter,3.0434782608695654,8.958695652173914,16.6195652173913
1039,0,Adelaide,2013-09-01,2013-11-30,Spring,0.8813186813186813,12.339560439560438,23.24615384615385
1040,0,Adelaide,2013-12-01,2014-02-28,Summer,4.019354838709678,50.222580645161294,87.90967741935484
1041,0,Adelaide,2014-03-01,2014-05-31,Autumn,1.4565217391304348,13.609782608695651,23.639130434782604
1042,0,Adelaide,2014-06-01,2014-08-31,Winter,2.4413043478260867,8.078260869565215,16.358695652173914
1043,0,Adelaide,2014-09-01,2014-11-30,Spring,0.6681318681318681,12.496703296703297,24.543956043956044
1044,0,Adelaide,2014-12-01,2015-02-28,Summer,0.54,16.957777777777782,29.342222222222226
